sample_id,tissue,condition,age,Diet,Experiment,file_origin,adipose.processed
Set2_eWAT-12,eWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-12 MitoFat LP-HFD_Unmixed.fcs,0.38
Set2_eWAT-13,eWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-13 MitoFat LP-HFD_Unmixed.fcs,0.43
Set2_eWAT-14,eWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-14 MitoFat HFD_Unmixed.fcs,0.375
Set2_eWAT-15,eWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-15 MitoFat HFD_Unmixed.fcs,0.38
Set2_eWAT-16,eWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-16 MitoFat HFD_Unmixed.fcs,0.354
Set2_iWat-2,iWAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-2 MitoFat chow_Unmixed.fcs,0.257
Set2_iWat-3,iWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-3 MitoFat HFD_Unmixed.fcs,0.432
Set2_iWat-4,iWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-4 MitoFat HFD_Unmixed.fcs,0.438
Set2_iWat-5,iWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-5 MitoFat LP-HFD_Unmixed.fcs,0.377
Set2_iWat-6,iWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-6 MitoFat LP-HFD_Unmixed.fcs,0.465
Set2_iWat-7,iWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-7 MitoFat LP-HFD_Unmixed.fcs,0.439
Set2_iWat-8,iWAT,Cre,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-8 Cre- HFD_Unmixed.fcs,0.551
Set2_iWat-10,iWAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-10 MitoFat chow_Unmixed.fcs,0.215
Set2_iWat-11,iWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-11 MitoFat LP-HFD_Unmixed.fcs,0.326
Set2_iWat-12,iWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-12 MitoFat LP-HFD_Unmixed.fcs,0.326
Set2_iWat-13,iWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-13 MitoFat LP-HFD_Unmixed.fcs,0.385
Set2_iWat-14,iWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-14 MitoFat HFD_Unmixed.fcs,0.456
Set2_iWat-15,iWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-15 MitoFat HFD_Unmixed.fcs,0.449
Set2_iWat-16,iWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-iWAT-16 MitoFat HFD_Unmixed.fcs,0.427
